epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3365.64,1.42621,2.03464,1.50948,0.69327,0.64742,0.68925,0.3617,1.41142,1.41843,1.44092,0.000555392,0.000555392,0.000555392
2,32761.6,1.41404,1.38704,1.47756,0.73777,0.65378,0.71885,0.3837,1.38771,1.18077,1.46082,0.00100106,0.00100106,0.00100106
3,38015,1.36692,1.23871,1.44643,0.75632,0.72177,0.77064,0.43992,1.27728,1.02453,1.34292,0.00133671,0.00133671,0.00133671
4,43889.8,1.32485,1.12076,1.41061,0.8062,0.72154,0.80593,0.46298,1.28528,0.97504,1.35085,0.0011719,0.0011719,0.0011719
5,47313.4,1.25788,0.98918,1.35389,0.80095,0.73615,0.81805,0.47145,1.22784,0.89793,1.30351,0.00100687,0.00100687,0.00100687
6,86793.4,1.20635,0.91746,1.31489,0.83382,0.75218,0.81991,0.49207,1.19405,0.85757,1.28695,0.000841835,0.000841835,0.000841835
7,92694.6,1.16524,0.8341,1.28761,0.85871,0.72252,0.8224,0.50285,1.18203,0.81071,1.26792,0.000676802,0.000676802,0.000676802
8,101562,1.11264,0.75629,1.25222,0.85616,0.75784,0.85345,0.51246,1.17635,0.76538,1.25914,0.000511769,0.000511769,0.000511769
9,108449,1.07509,0.70052,1.22706,0.86564,0.77338,0.85395,0.5292,1.14265,0.73593,1.23604,0.000346736,0.000346736,0.000346736
10,114814,1.02906,0.645,1.19576,0.83004,0.80456,0.8709,0.53816,1.13664,0.69168,1.22707,0.000181703,0.000181703,0.000181703
